4.515625,7.515625,0
4.53125,7.5,1
4.515625,7.484375,1
4.5,7.484375,1
4.484375,7.46875,1
4.46875,7.46875,1
4.453125,7.453125,1
4.4375,7.4375,1
4.421875,7.421875,1
4.40625,7.40625,1
4.390625,7.390625,1
4.390625,7.375,1
4.390625,7.359375,1
4.375,7.34375,1
4.375,7.328125,1
4.359375,7.328125,1
4.34375,7.328125,1
4.328125,7.3125,1
4.3125,7.3125,1
4.296875,7.296875,1
4.296875,7.28125,1
4.28125,7.265625,1
4.265625,7.25,1
4.265625,7.234375,1
4.25,7.21875,1
4.25,7.203125,1
4.234375,7.1875,1
4.234375,7.171875,1
4.21875,7.15625,1
4.203125,7.140625,1
4.203125,7.125,1
4.1875,7.109375,1
4.1875,7.09375,1
4.1875,7.078125,1
4.1875,7.0625,1
4.171875,7.046875,1
4.171875,7.03125,1
4.15625,7.015625,1
4.15625,7.0,1
4.15625,6.984375,1
4.15625,6.96875,1
4.140625,6.953125,1
4.140625,6.9375,1
4.140625,6.921875,1
4.140625,6.90625,1
4.140625,6.890625,1
4.125,6.875,1
4.125,6.859375,1
4.109375,6.84375,1
4.109375,6.828125,1
4.109375,6.8125,1
4.09375,6.796875,1
4.09375,6.78125,1
4.09375,6.765625,1
4.09375,6.75,1
4.09375,6.734375,1
4.109375,6.71875,1
4.125,6.71875,1
4.140625,6.71875,1
4.15625,6.703125,1
4.15625,6.6875,1
4.140625,6.6875,1
4.125,6.6875,1
4.109375,6.6875,1
4.09375,6.6875,1
4.078125,6.703125,1
4.0625,6.6875,1
4.046875,6.6875,1
4.03125,6.703125,1
4.015625,6.703125,1
4.0,6.703125,1
4.046875,6.703125,1
4.0625,6.703125,1
4.15625,6.71875,1
4.09375,6.71875,1
4.078125,6.71875,1
4.078125,6.734375,1
4.09375,6.8125,1
4.109375,6.859375,1
4.125,6.890625,1
4.125,6.90625,1
4.125,6.921875,1
4.140625,6.96875,1
4.140625,6.984375,1
4.140625,7.0,1
4.140625,7.015625,1
4.15625,7.03125,1
4.15625,7.046875,1
4.171875,7.0625,1
4.171875,7.078125,1
4.171875,7.09375,1
4.1875,7.125,1
4.1875,7.140625,1
4.203125,7.15625,1
4.203125,7.171875,1
4.21875,7.171875,1
4.21875,7.1875,1
4.21875,7.203125,1
4.234375,7.203125,1
4.234375,7.21875,1
4.25,7.234375,1
4.25,7.25,1
4.265625,7.265625,1
4.265625,7.28125,1
4.28125,7.28125,1
4.28125,7.296875,1
4.296875,7.3125,1
4.3125,7.328125,1
4.328125,7.328125,1
